,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12
RandomForest,0.7664000000000001,0.8907999999999999,0.8994,0.9051,0.9095000000000001,0.9099,0.9097,0.9103,0.9103999999999999,0.9096,0.9102,0.9101000000000001
KNN,0.8386999999999999,0.8906000000000001,0.8946000000000002,0.9046000000000001,0.9108000000000003,0.9108000000000003,0.9108000000000003,0.9108000000000003,0.9108000000000003,0.9108000000000003,0.9108000000000003,0.9108000000000003
MLP,0.8591,0.8991,0.9018,0.9082000000000001,0.9144,0.9145000000000001,0.9150000000000003,0.9145999999999999,0.9141000000000001,0.9137000000000001,0.9144,0.9138
